url,resolution,mode,status,title,duration,video_id,publish_date,uploader,progress,start_time,end_time,output_path,error_message,task_type,steps
https://www.youtube.com/shorts/E07DqFNz8gg,1080p,all,completed,happiness after an icestorm fyp intrusting satisfying youtubeshorts,94,E07DqFNz8gg,20251021,chill craze,,,,videos\chill craze\20251021 happiness after an icestorm fyp intrusting satisfying youtubeshorts,download_only,0,
https://www.youtube.com/shorts/e_W_wgG5CLU,1080p,all,completed,prettyfunny funny prettycat cute dontlaught kitten entertaininganimals pets,55,e_W_wgG5CLU,20251017,Catflix tales,,,,videos\Catflix tales\20251017 prettyfunny funny prettycat cute dontlaught kitten entertaininganimals pets,download_only,0,
https://www.youtube.com/shorts/KV9bYZ5Jpsw,1080p,all,completed,Chinese vs German Suspension Technology shorts technology ytshorts,14,KV9bYZ5Jpsw,20250611,Beyond The Stars,,,,videos\Beyond The Stars\20250611 Chinese vs German Suspension Technology shorts technology ytshorts,download_only,0,
https://www.youtube.com/shorts/lms6vcuX-o8,1080p,all,completed,Only a Genius Can Answer All of These Geography Questions Correctly GeographyGuy7211,84,lms6vcuX-o8,20251126,Extra Medium Shorts,,,,videos\Extra Medium Shorts\20251126 Only a Genius Can Answer All of These Geography Questions Correctly GeographyGuy7211,download_only,0,
https://www.youtube.com/shorts/aPuQ6BRyFUU,1080p,all,completed,so crazy trending shortvideos viral crazy dog cat baby,15,aPuQ6BRyFUU,20251221,gabiparisi Parisi,,,,videos\gabiparisi Parisi\20251221 so crazy trending shortvideos viral crazy dog cat baby,download_only,0,
https://www.youtube.com/watch?v=FE-hM1kRK4Y,1080p,all,completed,Why Laplace transforms are so useful,1385,FE-hM1kRK4Y,20251105,3Blue1Brown,,,,videos\3Blue1Brown\20251105 Why Laplace transforms are so useful,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=pZ7WLQbLDn8,1080p,all,completed,Top 10 Places To Visit in 2026 (Year of Travel),762,pZ7WLQbLDn8,20260101,Ryan Shirley,,,,videos\Ryan Shirley\20260101 Top 10 Places To Visit in 2026 Year of Travel,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=4KJ5TcdyyQ4,1080p,all,completed,NEW! 12 Wow Travel Destinations to Visit in 2026 😲,1108,4KJ5TcdyyQ4,20251227,Suitcase Monkey,,,,videos\Suitcase Monkey\20251227 NEW 12 Wow Travel Destinations to Visit in 2026,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=1vjgUT4c9wc,1080p,all,completed,All Maps Are Lying to You 😱 Real Country Sizes Revealed,49,1vjgUT4c9wc,20251230,The Map Mysteries,,,,videos\The Map Mysteries\20251230 All Maps Are Lying to You Real Country Sizes Revealed,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=pLxauXxcuBY,1080p,all,completed,The Cyber City in China that no one talks about,868,pLxauXxcuBY,20240925,Travis Leon,,,,videos\Travis Leon\20240925 The Cyber City in China that no one talks about,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=3AT6iTjJxLQ,1080p,all,completed,This place in China has the Craziest Bridges and Friendliest People 🇨🇳,640,3AT6iTjJxLQ,20241205,Travis Leon,,,,videos\Travis Leon\20241205 This place in China has the Craziest Bridges and Friendliest People,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=Z9GbRNrMzrg,1080p,all,completed,AVATARS FLOATING MOUNTAINS ARE REAL....THEY'RE IN CHINA,869,Z9GbRNrMzrg,20250516,Travis Leon,,,,videos\Travis Leon\20250516 AVATARS FLOATING MOUNTAINS ARE REAL THEY RE IN CHINA,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=nWZXstjBlfE,1080p,all,completed,This Megacity in China is bigger than most countries 🇨🇳,1105,nWZXstjBlfE,20250814,Travis Leon,,,,videos\Travis Leon\20250814 This Megacity in China is bigger than most countries,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=mHBuhtcYHrE,1080p,all,completed,24 -Hour Spas in China are Life changing! 🇨🇳,484,mHBuhtcYHrE,20250821,Travis Leon,,,,videos\Travis Leon\20250821 24 -Hour Spas in China are Life changing,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=PMUhjTuq0NM,1080p,all,completed,Visiting China's Giant Ice City before it melts ❄️,1000,PMUhjTuq0NM,20260103,Travis Leon,,,,videos\Travis Leon\20260103 Visiting China s Giant Ice City before it melts,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=q6WlXhtVvkg,1080p,all,completed,How to solve any maze,176,q6WlXhtVvkg,20250918,Veritasium,,,,videos\Veritasium\20250918 How to solve any maze,,full_process,"0,1,2,3,4,5,6,7"
https://www.youtube.com/watch?v=PA6tjgpDvHU,1080p,all,completed,Gemini 3 + Deep Think: Enhancing Gemini to Become a Super Agent! Build & Automate ANYTHING!,615,PA6tjgpDvHU,20251229,WorldofAI,,,,videos\WorldofAI\20251229 Gemini 3 Deep Think Enhancing Gemini to Become a Super Agent Build Automate ANYTHING,,full_process,"0,1,2,3,4,5,6,7"
